x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
20,8,6,20000,51.0,0.0,1,2.0,1,13.0,3.0,0
20,8,6,20000,51.0,0.0,1,2.0,1,13.0,3.0,0
20,8,6,20000,51.0,0.0,1,2.0,1,13.0,3.0,0
20,8,6,20000,51.0,0.0,1,2.0,1,13.0,3.0,0
20,8,6,150000,51.0,0.0,1,1.0,3,13.0,3.0,0
20,8,6,150000,51.0,0.0,1,1.0,3,13.0,3.0,0
20,8,6,150000,51.0,0.0,1,1.0,3,13.0,3.0,0
20,8,6,150000,51.0,0.0,1,1.0,3,13.0,3.0,0
20,8,6,20000,6.0,0.0,1,2.0,1,13.0,3.0,0
20,8,6,20000,6.0,0.0,1,2.0,1,13.0,3.0,0
20,8,6,20000,6.0,0.0,1,2.0,1,13.0,3.0,0
20,8,6,20000,6.0,0.0,1,2.0,1,13.0,3.0,0
24,8,6,10000,404.0,0.0,2,1.0,1,8.0,2.0,0
24,8,6,10000,404.0,0.0,2,1.0,1,8.0,2.0,0
24,8,6,10000,404.0,0.0,2,1.0,1,8.0,2.0,0
24,8,6,10000,404.0,0.0,2,1.0,1,8.0,2.0,0
20,8,6,500000,6.0,0.0,1,2.0,4,13.0,3.0,0
20,8,6,500000,6.0,0.0,1,2.0,4,13.0,3.0,0
20,8,6,500000,6.0,0.0,1,2.0,4,13.0,3.0,0
20,8,6,500000,6.0,0.0,1,2.0,4,13.0,3.0,0
20,8,6,20000,45.0,0.0,1,2.0,1,13.0,3.0,0
20,8,6,20000,45.0,0.0,1,2.0,1,13.0,3.0,0
20,8,6,20000,45.0,0.0,1,2.0,4,13.0,3.0,0
20,8,6,20000,45.0,0.0,1,2.0,4,13.0,3.0,0
24,8,6,200000,57.0,0.0,1,2.0,3,8.0,2.0,2
24,8,6,200000,57.0,0.0,1,2.0,3,8.0,2.0,2
24,8,6,200000,57.0,0.0,1,2.0,3,8.0,2.0,2
24,8,6,200000,57.0,0.0,1,2.0,3,8.0,2.0,2
